method,w,clf,acc,f1,ARI,silhouette
hyb-slic,0.75,RandomForest,0.7133333333333333,0.7104608297789532,0.084919121317303,0.08010109257087139
hyb-slic,0.75,SVM,0.7033333333333334,0.7005563471648428,0.084919121317303,0.08010109257087139
hyb-slic,1.0,LogReg,0.6483333333333333,0.6446942401805686,0.09216326998577481,0.08911848236355424
hyb-slic,1.0,RandomForest,0.6449999999999999,0.6416502509175042,0.09216326998577481,0.08911848236355424
hyb-slic,1.0,SVM,0.6599999999999999,0.6574045145642625,0.09216326998577481,0.08911848236355424
combo+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,RandomForest,0.595,0.5880132281474623,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570968
gnat+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570965
gnat+r-slic,0.0,RandomForest,0.595,0.5858425365444523,0.1300237268573703,0.20404032567570965
gnat+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,RandomForest,0.6133333333333333,0.6057511539069643,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570965
combo+r-slic,0.25,LogReg,0.6366666666666666,0.631421102985458,0.13241773969217738,0.185103702216856
combo+r-slic,0.25,RandomForest,0.6366666666666666,0.6332920250821698,0.13241773969217738,0.185103702216856
combo+r-slic,0.25,SVM,0.6433333333333333,0.6369672778490052,0.13241773969217738,0.185103702216856
gnat+r-slic,0.25,LogReg,0.6383333333333334,0.6328672884913932,0.13183276857115292,0.18521083456226325
gnat+r-slic,0.25,RandomForest,0.6483333333333334,0.6419826855290988,0.13183276857115292,0.18521083456226325
gnat+r-slic,0.25,SVM,0.6433333333333333,0.63705897075762,0.13183276857115292,0.18521083456226325
gspec+r-slic,0.25,LogReg,0.6383333333333333,0.6326071904903602,0.1316933420179888,0.18573218835775313
gspec+r-slic,0.25,RandomForest,0.6366666666666666,0.6332751715585101,0.1316933420179888,0.18573218835775313
gspec+r-slic,0.25,SVM,0.6433333333333333,0.637473969426685,0.1316933420179888,0.18573218835775313
combo+r-slic,0.5,LogReg,0.6483333333333333,0.6437044435905537,0.13441180230284303,0.12426071641958904
combo+r-slic,0.5,RandomForest,0.635,0.6315953774755665,0.13441180230284303,0.12426071641958904
combo+r-slic,0.5,SVM,0.675,0.672127184758194,0.13441180230284303,0.12426071641958904
gnat+r-slic,0.5,LogReg,0.6566666666666666,0.6523381962580512,0.13605605739495866,0.12561110031802947
gnat+r-slic,0.5,RandomForest,0.6500000000000001,0.6440472875937008,0.13605605739495866,0.12561110031802947
gnat+r-slic,0.5,SVM,0.6766666666666667,0.6719867281663754,0.13605605739495866,0.12561110031802947
gspec+r-slic,0.5,LogReg,0.6616666666666666,0.6578426982007001,0.14178445526435726,0.12852915051260733
gspec+r-slic,0.5,RandomForest,0.635,0.6314617128084035,0.14178445526435726,0.12852915051260733
gspec+r-slic,0.5,SVM,0.6633333333333334,0.658920963953845,0.14178445526435726,0.12852915051260733
combo+r-slic,0.75,LogReg,0.6433333333333333,0.6393789867415272,0.1639974546567949,0.07962277966330712
combo+r-slic,0.75,RandomForest,0.635,0.6315953774755665,0.1639974546567949,0.07962277966330712
combo+r-slic,0.75,SVM,0.6566666666666667,0.6523890156379769,0.1639974546567949,0.07962277966330712
gnat+r-slic,0.75,LogReg,0.6416666666666667,0.6376619450873268,0.18351098848483396,0.07901271680663233
gnat+r-slic,0.75,RandomForest,0.6500000000000001,0.6440472875937008,0.18351098848483396,0.07901271680663233
gnat+r-slic,0.75,SVM,0.6483333333333333,0.6435066463354433,0.18351098848483396,0.07901271680663233
gspec+r-slic,0.75,LogReg,0.6400000000000001,0.6365194904042429,0.11011111541257007,0.08729168630451994
gspec+r-slic,0.75,RandomForest,0.635,0.6314617128084035,0.11011111541257007,0.08729168630451994
gspec+r-slic,0.75,SVM,0.6533333333333332,0.6489060931052476,0.11011111541257007,0.08729168630451994
combo+r-slic,1.0,LogReg,0.6133333333333333,0.6098807068073325,0.15504029101634106,0.07402173386800652
combo+r-slic,1.0,RandomForest,0.625,0.6200263645701529,0.15504029101634106,0.07402173386800652
combo+r-slic,1.0,SVM,0.6266666666666667,0.6227044221423214,0.15504029101634106,0.07402173386800652
gnat+r-slic,1.0,LogReg,0.6183333333333334,0.6143286453852914,0.181229538030467,0.07311570018715012
gnat+r-slic,1.0,RandomForest,0.635,0.6320515394893483,0.181229538030467,0.07311570018715012
