method,w,clf,acc,f1,ARI,silhouette
n2v-pixel,0.0,LogReg,0.2625,0.23865594112442948,0.06472547880694828,0.13476431946501177
n2v-pixel,0.0,RandomForest,0.27,0.25293033883900756,0.06472547880694828,0.13476431946501177
n2v-pixel,0.0,SVM,0.2625,0.2450517684929449,0.06472547880694828,0.13476431946501177
n2v-pixel,0.25,LogReg,0.255,0.23316949616841934,0.07266773368655371,0.11204961903967373
n2v-pixel,0.25,RandomForest,0.225,0.19965356047461308,0.07266773368655371,0.11204961903967373
n2v-pixel,0.25,SVM,0.28,0.26308599828104473,0.07266773368655371,0.11204961903967373
n2v-pixel,0.5,LogReg,0.2575,0.2358158876764342,0.0540756826792305,0.04724778223245277
n2v-pixel,0.5,RandomForest,0.225,0.19965356047461308,0.0540756826792305,0.04724778223245277
n2v-pixel,0.5,SVM,0.2525,0.23789766631717096,0.0540756826792305,0.04724778223245277
n2v-pixel,0.75,LogReg,0.2125,0.1955292771570871,0.011443381095969724,0.020964851877887245
n2v-pixel,0.75,RandomForest,0.225,0.1996652820863347,0.011443381095969724,0.020964851877887245
n2v-pixel,0.75,SVM,0.2125,0.20276446034185974,0.011443381095969724,0.020964851877887245
n2v-pixel,1.0,LogReg,0.1275,0.12730793698905155,-0.001380939133629616,0.022523162143711653
n2v-pixel,1.0,RandomForest,0.08249999999999999,0.07941120088239485,-0.001380939133629616,0.022523162143711653
n2v-pixel,1.0,SVM,0.135,0.1300998509499654,-0.001380939133629616,0.022523162143711653
wl-pixel,nan,LogReg,0.2375,0.23193938569170766,0.017815402878679425,0.022802677521454956
wl-pixel,nan,RandomForest,0.2925,0.27104893819929493,0.017815402878679425,0.022802677521454956
wl-pixel,nan,SVM,0.3025,0.2920175927555791,0.017815402878679425,0.022802677521454956
g2v-pixel,nan,LogReg,0.2325,0.222379248718258,0.03988390193682827,0.020197918030807234
g2v-pixel,nan,RandomForest,0.24,0.22919441600710955,0.03988390193682827,0.020197918030807234
g2v-pixel,nan,SVM,0.31,0.2968640636744688,0.03988390193682827,0.020197918030807234
combo-pixel,0.0,LogReg,0.2625,0.23865594112442948,0.06472547880694828,0.13476431932120891
combo-pixel,0.0,RandomForest,0.29250000000000004,0.27072653874047065,0.06472547880694828,0.13476431932120891
combo-pixel,0.0,SVM,0.2625,0.2450517684929449,0.06472547880694828,0.13476431932120891
combo-pixel,0.25,LogReg,0.2575,0.23393700565000874,0.06648614723622588,0.11708825822765309
combo-pixel,0.25,RandomForest,0.2824999999999999,0.2595416748365328,0.06648614723622588,0.11708825822765309
combo-pixel,0.25,SVM,0.265,0.2497405894758836,0.06648614723622588,0.11708825822765309
combo-pixel,0.5,LogReg,0.27999999999999997,0.24778148668160785,0.06717125895361314,0.060133652341912015
combo-pixel,0.5,RandomForest,0.2824999999999999,0.25950463779949573,0.06717125895361314,0.060133652341912015
combo-pixel,0.5,SVM,0.3075,0.2928545782674871,0.06717125895361314,0.060133652341912015
combo-pixel,0.75,LogReg,0.31,0.2898263653532869,0.06529214138184632,0.029787498307262267
combo-pixel,0.75,RandomForest,0.2824999999999999,0.25950463779949573,0.06529214138184632,0.029787498307262267
