method,dim,km_ARI,km_NMI,km_silhouette,hdb_ARI,hdb_clusters,hdb_noise,probe_acc,probe_f1
topo,12,0.018984379625273037,0.04617253828511159,0.2264176172270839,0.0018892888022981147,4,0.83,0.35666666666666663,0.350330946073339
attr,36,0.026022703354545648,0.07215200001779655,0.2072161795817334,0.00434911005569566,2,0.08666666666666667,0.5833333333333334,0.5857001448798209
wl,128,0.03678211333128027,0.07520723364125088,0.125055120594317,0.0012143812845330953,2,0.8583333333333333,0.5133333333333333,0.5175419464293176
graph2vec,64,0.026852675507319426,0.053351563161710455,0.0805546209661143,0.0004552367020744388,2,0.6,0.4833333333333333,0.48585254490833785
node2vec,128,0.016630074188286468,0.04159685299900858,0.13733196745260978,0.0,0,1.0,0.22833333333333333,0.2201965785722125
