method,w,clf,acc,f1,ARI,silhouette
hyb-slic,0.75,SVM,0.6683333333333333,0.6672483020783465,0.05800004815918946,0.0632575814232935
hyb-slic,1.0,LogReg,0.595,0.5913602155743979,0.05806613111781195,0.07036573662896939
hyb-slic,1.0,RandomForest,0.575,0.57292725578061,0.05806613111781195,0.07036573662896939
hyb-slic,1.0,SVM,0.6083333333333333,0.6056688365847489,0.05806613111781195,0.07036573662896939
combo+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,RandomForest,0.595,0.5880132281474623,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570968
gnat+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570965
gnat+r-slic,0.0,RandomForest,0.595,0.5858425365444523,0.1300237268573703,0.20404032567570965
gnat+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,RandomForest,0.6133333333333333,0.6057511539069643,0.1300237268573703,0.20404032567570965
gspec+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570965
combo+r-slic,0.25,LogReg,0.6366666666666666,0.6293388980334356,0.13443424180400737,0.18090920294284904
combo+r-slic,0.25,RandomForest,0.6383333333333334,0.6295558328599679,0.13443424180400737,0.18090920294284904
combo+r-slic,0.25,SVM,0.65,0.645340633907404,0.13443424180400737,0.18090920294284904
gnat+r-slic,0.25,LogReg,0.6333333333333333,0.6254967965226298,0.12996088962733415,0.1819756799465646
gnat+r-slic,0.25,RandomForest,0.6433333333333333,0.6351405110709859,0.12996088962733415,0.1819756799465646
gnat+r-slic,0.25,SVM,0.6466666666666667,0.641138720335843,0.12996088962733415,0.1819756799465646
gspec+r-slic,0.25,LogReg,0.6283333333333333,0.6206655762183528,0.12737176243543133,0.18275622209130252
gspec+r-slic,0.25,RandomForest,0.6333333333333333,0.6238442505838717,0.12737176243543133,0.18275622209130252
gspec+r-slic,0.25,SVM,0.6533333333333333,0.6479053331050192,0.12737176243543133,0.18275622209130252
combo+r-slic,0.5,LogReg,0.635,0.6287305727396069,0.1402299294933466,0.11431019530930114
combo+r-slic,0.5,RandomForest,0.6383333333333334,0.6295558328599679,0.1402299294933466,0.11431019530930114
combo+r-slic,0.5,SVM,0.6733333333333335,0.6692509801691839,0.1402299294933466,0.11431019530930114
gnat+r-slic,0.5,LogReg,0.6383333333333333,0.6318895589435269,0.14243247881594304,0.11654330145523403
gnat+r-slic,0.5,RandomForest,0.6416666666666666,0.633363340872763,0.14243247881594304,0.11654330145523403
gnat+r-slic,0.5,SVM,0.6733333333333335,0.6668851725724678,0.14243247881594304,0.11654330145523403
gspec+r-slic,0.5,LogReg,0.635,0.628260682047454,0.14500203549709723,0.1197179912516849
gspec+r-slic,0.5,RandomForest,0.6333333333333333,0.6238442505838717,0.14500203549709723,0.1197179912516849
gspec+r-slic,0.5,SVM,0.675,0.6692400869159809,0.14500203549709723,0.1197179912516849
combo+r-slic,0.75,LogReg,0.63,0.6258196640187533,0.12705448380896858,0.0708851761641927
