method,w,clf,acc,f1,ARI,silhouette
hyb-slic,1.0,SVM,0.5826666666666667,0.5809548971658665,0.018011044671874397,0.09446007710365809
combo+r-slic,0.0,LogReg,0.5693333333333334,0.5602653537983718,0.14398612621908022,0.17517935805351068
combo+r-slic,0.0,RandomForest,0.5853333333333334,0.5732445719079604,0.14398612621908022,0.17517935805351068
combo+r-slic,0.0,SVM,0.5853333333333333,0.5766054587936171,0.14398612621908022,0.17517935805351068
combo+r-slic,0.25,LogReg,0.5986666666666667,0.5903974919326677,0.1401671249983958,0.15583865780419523
combo+r-slic,0.25,RandomForest,0.6239999999999999,0.6158038683341089,0.1401671249983958,0.15583865780419523
combo+r-slic,0.25,SVM,0.6093333333333333,0.600855240133206,0.1401671249983958,0.15583865780419523
combo+r-slic,0.5,LogReg,0.612,0.6041019398890088,0.15567150096372925,0.10326715906953311
combo+r-slic,0.5,RandomForest,0.6253333333333333,0.6172098619372239,0.15567150096372925,0.10326715906953311
combo+r-slic,0.5,SVM,0.628,0.6216931352621488,0.15567150096372925,0.10326715906953311
combo+r-slic,0.75,LogReg,0.5933333333333334,0.5874652410319945,0.05619049963379786,0.08378852233032365
combo+r-slic,0.75,RandomForest,0.6253333333333333,0.6172098619372239,0.05619049963379786,0.08378852233032365
combo+r-slic,0.75,SVM,0.6146666666666667,0.6084846665367585,0.05619049963379786,0.08378852233032365
combo+r-slic,1.0,LogReg,0.5573333333333333,0.5545156561357028,0.034357272071336695,0.08669669679481891
combo+r-slic,1.0,RandomForest,0.5733333333333334,0.5702817009462287,0.034357272071336695,0.08669669679481891
combo+r-slic,1.0,SVM,0.5706666666666667,0.568526675503759,0.034357272071336695,0.08669669679481891
hyb+r-slic,0.0,LogReg,0.7213333333333333,0.7204722338362601,0.04268277566980614,0.051687488973866
hyb+r-slic,0.0,RandomForest,0.7146666666666667,0.7123793414768387,0.04268277566980614,0.051687488973866
hyb+r-slic,0.0,SVM,0.7453333333333333,0.7451790677090149,0.04268277566980614,0.051687488973866
hyb+r-slic,0.25,LogReg,0.7453333333333333,0.7438818899877094,0.05075071751010349,0.04679116056755538
hyb+r-slic,0.25,RandomForest,0.7200000000000001,0.7162444061911142,0.05075071751010349,0.04679116056755538
hyb+r-slic,0.25,SVM,0.768,0.7673787534089037,0.05075071751010349,0.04679116056755538
hyb+r-slic,0.5,LogReg,0.724,0.722188683977121,0.07455549332921718,0.044522411976093856
hyb+r-slic,0.5,RandomForest,0.7200000000000001,0.7162444061911142,0.07455549332921718,0.044522411976093856
hyb+r-slic,0.5,SVM,0.7586666666666666,0.7581296474713076,0.07455549332921718,0.044522411976093856
hyb+r-slic,0.75,LogReg,0.6373333333333333,0.6343489158473679,0.02004537273144689,0.07817440982756547
hyb+r-slic,0.75,RandomForest,0.7186666666666668,0.7147779258375525,0.02004537273144689,0.07817440982756547
hyb+r-slic,0.75,SVM,0.6333333333333333,0.6320497536704254,0.02004537273144689,0.07817440982756547
hyb+r-slic,1.0,LogReg,0.5573333333333333,0.5545156561357028,0.034357272071336695,0.08669669679481888
hyb+r-slic,1.0,RandomForest,0.5693333333333335,0.5661251293238501,0.034357272071336695,0.08669669679481888
hyb+r-slic,1.0,SVM,0.5706666666666667,0.568526675503759,0.034357272071336695,0.08669669679481888
baseline-rgb,nan,LogReg,0.4680000000000001,0.45730799910578873,0.04648267975051517,0.39925315350238916
baseline-rgb,nan,RandomForest,0.5066666666666666,0.5043867473283473,0.04648267975051517,0.39925315350238916
baseline-rgb,nan,SVM,0.504,0.4939067157935412,0.04648267975051517,0.39925315350238916
baseline-hog,nan,LogReg,0.6786666666666666,0.6785621434707207,0.04277624407004439,0.04925964035648794
baseline-hog,nan,RandomForest,0.7133333333333333,0.7100159638245735,0.04277624407004439,0.04925964035648794
baseline-hog,nan,SVM,0.7493333333333332,0.7496433234622624,0.04277624407004439,0.04925964035648794
